ID,Seed,Sensitivity distribution for CIP,Specificity distribution for CIP,Sensitivity distribution for TET,Specificity distribution for TET,Sensitivity for CIP,Specificity for CIP,Sensitivity for TET,Specificity for TET,prob CIP test positive-0,prob CIP test positive-1,prob CIP test positive-2,prob CIP test positive-3,prob CIP test positive-4,prob CIP test positive-5,prob CIP test positive-6,prob CIP test positive-7,prob TET test positive-0,prob TET test positive-1,prob TET test positive-2,prob TET test positive-3,prob TET test positive-4,prob TET test positive-5,prob TET test positive-6,prob TET test positive-7,Prob of receiving a rapid test,Prob Tx-CIP if susceptible to CIP and TET,Pop size,Annual survey size,Initial prevalence,Initial % I by symptom states-0,Initial % I by symptom states-1,Dirichlet dist. of % I by resistance profile,Constant dist. of % I-0,Constant dist. of % I-1,Constant dist. of % I-2,Constant dist. of % I-3,Constant dist. of % I-4,Constant dist. of % I-5,Constant dist. of % I-6,Constant dist. of % I-7,Constant dist. of % I by resistance profile,Initial % I by resistance profile-0,Initial % I by resistance profile-1,Initial % I by resistance profile-2,Initial % I by resistance profile-3,Initial % I by resistance profile-4,Initial % I by resistance profile-5,Initial % I by resistance profile-6,Initial % I by resistance profile-7,Transmission parameter,Fitness-f_min-0,Fitness-f_min-1,Fitness-f_min-2,Fitness-f_min-3,Fitness-f_min-4,Fitness-f_min-5,Fitness-f_min-6,Fitness-f_min-7,Fitness-b-0,Fitness-b-1,Fitness-b-2,Fitness-b-3,Fitness-b-4,Fitness-b-5,Fitness-b-6,Fitness-b-7,Fitness-t_mid-0,Fitness-t_mid-1,Fitness-t_mid-2,Fitness-t_mid-3,Fitness-t_mid-4,Fitness-t_mid-5,Fitness-t_mid-6,Fitness-t_mid-7,Relative infectivity by infectivity profile-0,Relative infectivity by infectivity profile-1,Relative infectivity by infectivity profile-2,Relative infectivity by infectivity profile-3,Relative infectivity by infectivity profile-4,Relative infectivity by infectivity profile-5,Relative infectivity by infectivity profile-6,Relative infectivity by infectivity profile-7,Exponent for the prob of resistance by antibiotics-0,Exponent for the prob of resistance by antibiotics-1,Exponent for the prob of resistance by antibiotics-2,Prob symptomatic,Time until natural recovery,Time until screened,Time until seeking treatment (symptomatic),Time until seeking retreatment (symptomatic),Survey size (over observation periods),Initial % Susceptible,Prob of resistance by antibiotics-0,Prob of resistance by antibiotics-1,Prob of resistance by antibiotics-2,Rate of natural recovery,Rate of screening,Rate of seeking treatment,Rate of seeking retreatment,"Infectivity of CIP-S, TET-S, CRO-S","Infectivity of CIP-NS, TET-S, CRO-S","Infectivity of CIP-S, TET-NS, CRO-S","Infectivity of CIP-S, TET-S, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-S","Infectivity of CIP-NS, TET-S, CRO-NS","Infectivity of CIP-S, TET-NS, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-NS",Size of S,Size of I,Size of I by Symp/Rest-0,Size of I by Symp/Rest-1,Size of I by Symp/Rest-2,Size of I by Symp/Rest-3,Size of I by Symp/Rest-4,Size of I by Symp/Rest-5,Size of I by Symp/Rest-6,Size of I by Symp/Rest-7,Size of I by Symp/Rest-8,Size of I by Symp/Rest-9,Size of I by Symp/Rest-10,Size of I by Symp/Rest-11,Size of I by Symp/Rest-12,Size of I by Symp/Rest-13,Size of I by Symp/Rest-14,Size of I by Symp/Rest-15
0,465654247,0.9961233390330598,0.9666650923423353,0.8298225242061172,0.9543722226449466,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05180034230409677,0.036637278466263364,0.9633627215337366,"[0.1281352593364309, 0.004276809837552588, 0.5671757541047667, 0, 0.3004121767212499, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.1281352593364309,0.004276809837552588,0.5671757541047667,0,0.3004121767212499,0,0,0,1.7736353328088066,1,0.9836168808148082,0.9830138898929938,0.9436137828328747,0.9154597453314933,0.9562048994534398,0.8079541866551141,0.8617336479932739,0.42303540658295513,0.26849860292949523,0.3664854653546298,0.440380920464821,0.44460462953207835,0.4527389638766949,0.41518414641594503,0.10907907682156984,9.376060058056408,12.089399747146008,10.667424304764562,8.94643454252795,10.345648739185155,7.695581745207866,8.500683034040154,8.807339548345242,1.0,0.9995014089865761,0.9999109443267877,0.9999516770020922,0.9998739537770349,0.9999825175050848,0.9997951758909178,0.9797761609411757,-3.380676785131605,-4.5593010462291295,-3.444758339729625,0.5666696582418039,3.065632342063463,2.4510838874768694,0.012376980263286461,0.03808051941008985,1500,0.9481996576959032,0.00041622025874904614,2.7586649293574086e-05,0.00035912170994039207,0.3261969761601956,0.40798277248250114,80.79515186481116,26.260146014054605,1.7736353328088066,1.772751014170777,1.7734773805202102,1.77354962543233,1.7734117727741887,1.7736043252381193,1.7732720495319274,1.737765617289037,26359950.483946104,1440049.5160538899,6760.351590284912,225.64232777436962,29923.906433637265,0.0,15849.59477317762,0.0,0.0,0.0,177760.7666065821,5933.17560904775,786837.2637824321,0.0,416758.81493095396,0.0,0.0,0.0
1,1136163917,0.9898137612725403,0.9631992272355213,0.8346976071535628,0.9586586602712401,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04427092200842528,0.02395259357006986,0.9760474064299302,"[0.118496597454883, 0.00129419367528846, 0.5450759803377294, 0, 0.33513322853209926, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.118496597454883,0.00129419367528846,0.5450759803377294,0,0.33513322853209926,0,0,0,2.2936966856293024,1,0.902311319865753,0.9766868898376494,0.9404047625379066,0.8458694854511043,0.9337724613933831,0.8440690464753877,0.8953717279278162,0.3481946189057957,0.10009986397405646,0.37379577738895875,0.45041271901294533,0.17388311406373785,0.35866976541669304,0.15467926311504354,0.4947931734892552,10.540015312559849,8.722026858451517,11.90163519104669,12.787518377041657,9.668792584524398,7.339327314316008,7.74480727643137,9.89546144555137,1.0,0.9839621160462924,0.9998257754879248,0.9997554977486034,0.9899471299537623,0.9998818901851243,0.9898634136393466,0.9999400513335336,-4.185004132456158,-3.969283848427749,-3.703342149656656,0.5482153866065721,2.2427285676213704,1.7918644862115543,0.005483283244616371,0.0146872783078324,1500,0.9557290779915747,6.531243379230266e-05,0.0001073287698141028,0.00019799665367260994,0.4458854336798306,0.5580779169937387,182.37248659037007,68.08613407064821,2.2936966856293024,2.256910644360176,2.2932970674434,2.293135871625645,2.270638450923185,2.2934257775383817,2.2704464310902766,2.2935591815717205,26569268.368165772,1230731.6318342225,3493.186622324155,38.1518130504589,16068.411781958037,0.0,9879.464353821339,0.0,0.0,0.0,142344.32413012697,1554.6532808468373,654773.8389727343,0.0,402579.6008793606,0.0,0.0,0.0
2,600597301,0.9897375210410921,0.9856083497913157,0.841576212097321,0.9671250289007182,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04578885569478672,0.005015637362035236,0.9949843626379647,"[0.09993989281844443, 0.0007061707645514313, 0.5569306208013418, 0, 0.3424233156156623, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.09993989281844443,0.0007061707645514313,0.5569306208013418,0,0.3424233156156623,0,0,0,1.808692693613183,1,0.9626688608366014,0.9985774557197624,0.947967598966738,0.983391361694829,0.8868617484054095,0.966299353779163,0.8733046232563344,0.3216509616744254,0.14039093234246225,0.43709751875843006,0.11757860508658369,0.2011057040067127,0.22069104184079358,0.3798370210787587,0.18827341084801708,10.834303240020002,8.348549002449902,10.844677687540637,10.27030721954346,7.455252119819594,7.397811476426917,9.8856317879258,10.854191838155696,1.0,0.9967049885722481,0.9999970574366428,0.9921621411048056,0.9995246005069375,0.9977117738730061,0.9998913262403418,0.9917146066371271,-3.914009743946745,-3.0561855569793908,-3.3643342435902612,0.5990416213284488,3.4420828512215116,2.2452349089610126,0.006144549410523466,0.014147382628488461,1500,0.9542111443052133,0.00012189622496561459,0.0008786470252466899,0.0004321810859377224,0.2905217692959146,0.4453876946277983,162.74586355955563,70.68445282495638,1.808692693613183,1.8027330305184364,1.8086873714203384,1.794516415495874,1.8078328420235334,1.8045539957359544,1.8084961361781018,1.7937069631740437,26527069.811684925,1272930.1883150705,638.0718634981887,4.508586941391177,3555.754854565257,0.0,2186.220906770779,0.0,0.0,0.0,126578.43472207223,894.3974973616595,705378.0451605158,0.0,433694.75472334505,0.0,0.0,0.0
3,79458643,0.9715481559809019,0.9861650607717054,0.8504501193656396,0.9689275788839996,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.044785231529669435,0.03823652970172311,0.9617634702982769,"[0.07912145393778602, 0.0023561913541373875, 0.57101203998609, 0, 0.3475103147219866, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.07912145393778602,0.0023561913541373875,0.57101203998609,0,0.3475103147219866,0,0,0,2.1462658714673144,1,0.9473303103102266,0.95343669354864,0.935404354043689,0.9069026779848693,0.9483214108771132,0.8599355655685833,0.9980671813061858,0.3424934236411994,0.4427260822292717,0.3098894699569602,0.12345316008907466,0.40478013009334224,0.14856083718070565,0.2266034155954639,0.4783340231212745,11.518457116018197,12.481928122771652,7.7189309178506615,8.34267398996502,11.903020584680764,12.839787860065641,8.445326766883227,8.323374921268185,1.0,0.9997926748426461,0.9997797934947832,0.9926589461062313,0.9995346560089653,0.9926924213410259,0.9967722024168695,0.9999993306245303,-4.729607850089069,-4.3767733295333855,-3.7142143152332405,0.5964411005280332,3.1215932097547845,1.9591053597132972,0.01306658367457906,0.017082317422605575,1500,0.9552147684703306,1.863769283483644e-05,4.19978125156708e-05,0.00019310151663047583,0.32034923604877863,0.510437070187151,76.53109832721559,58.540066623318225,2.1462658714673144,2.145820896557789,2.1457932497604926,2.1305100180345162,2.1452671195408644,2.1305818647884953,2.1393381596746366,2.1462644348095887,26554970.563475188,1245029.43652481,3766.624685498321,112.16791497828152,27183.373642495833,0.0,16543.43878622805,0.0,0.0,0.0,94741.91452768713,2821.359679008019,683743.4247502681,0.0,416117.13253864634,0.0,0.0,0.0
4,1975687421,0.9925523777743499,0.9810578844571336,0.8492832821175686,0.9850067964044115,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05104695742822802,0.023040622193178296,0.9769593778068217,"[0.12927097344274652, 0.0014926334498247872, 0.5081996555642885, 0, 0.3610367375431401, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.12927097344274652,0.0014926334498247872,0.5081996555642885,0,0.3610367375431401,0,0,0,1.9992274360610875,1,0.956560857288007,0.9087073835362243,0.9114386852537825,0.8891970393810688,0.9300691116004969,0.9948436426637931,0.7148276622612326,0.4588263897031477,0.17996007289126906,0.13814775890557252,0.2178510710838486,0.22954496447701636,0.2578400473189407,0.13002787803006777,0.12099493041264303,10.655644135680399,7.292160410111483,11.093921267216093,7.245405302460951,12.953880612255839,8.119474822895805,9.187063986824795,8.774680671538134,1.0,0.998271070074344,0.9883112612099392,0.9981792408743536,0.9934089373583909,0.9991067291230563,0.9994137896586552,0.9648169784404753,-3.4137207305796893,-3.631834879878179,-3.268141922807125,0.6196448823250709,4.173756545911868,1.920852373965435,0.014663438840285595,0.029160297191159323,1500,0.9489530425717719,0.00038572631600246413,0.00023343454190196902,0.0005393343449992257,0.23959231665763664,0.5206022147009589,68.19682687615202,34.29320330463488,1.9992274360610875,1.995770911918689,1.9758589887790465,1.9955873244626368,1.9860504027951853,1.9974415844160673,1.9980554682633684,1.928888574075757,26380894.583495256,1419105.4165047389,4226.782294364147,48.804743011309704,16616.64060333276,0.0,11804.844113270397,0.0,0.0,0.0,179222.3563150777,2069.3994704912,704572.2432737917,0.0,500544.34569139953,0.0,0.0,0.0
5,762041545,0.9931352247685271,0.9665289408789818,0.8569395218475442,0.9583844034195945,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.048758027154009065,0.0022922220966751284,0.9977077779033249,"[0.1210003359064137, 0.015201307855246166, 0.5293927313146953, 0, 0.33440562492364473, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.1210003359064137,0.015201307855246166,0.5293927313146953,0,0.33440562492364473,0,0,0,2.437469629024509,1,0.9986084666716509,0.9119202808607928,0.9753915931559403,0.9367769044823038,0.9730542433197822,0.8300402623343611,0.7688031808095579,0.2474896393586961,0.2436193281302606,0.24855818105414224,0.16248339349889374,0.1996094093638893,0.4889384653419758,0.2459097584698413,0.45969297045473845,7.738658212717191,8.677335751695825,10.523923923149669,7.051302931864026,9.079481748860754,10.294376069920894,7.977741316611795,11.933145349300188,1.0,0.9999742697748129,0.997642171535421,0.9987325955782327,0.9974613296109724,0.99997950711473,0.9974420999024749,0.999427139175663,-3.487842747264392,-3.639461579908784,-3.421913058095517,0.5170074744326689,1.5145242635460692,1.9125836714013054,0.025357476094823812,0.01053130345088699,1500,0.9512419728459909,0.00032520502884460386,0.0002293709535700547,0.0003785183531508176,0.6602733439599211,0.5228529423067402,39.436101458225515,94.95500767436113,2.437469629024509,2.4374069123820674,2.431722493751648,2.43438036923876,2.4312816970531506,2.4374196782390523,2.4312348252227127,2.4360732981635294,26444526.84511854,1355473.1548814517,375.95355124189155,47.231155425231606,1644.8473126003503,0.0,1039.0134978017388,0.0,0.0,0.0,163636.75350154008,20557.733561449484,715932.7883738384,0.0,452238.83392755437,0.0,0.0,0.0
6,1316841033,0.9810456702423308,0.9597468836279638,0.8554797444363659,0.9733765697891632,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04615406081111441,0.0006455697907003955,0.9993544302092996,"[0.11973854734890477, 0.00044541267599042294, 0.5432438750532952, 0, 0.3365721649218095, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.11973854734890477,0.00044541267599042294,0.5432438750532952,0,0.3365721649218095,0,0,0,2.356912346321173,1,0.9149662223835926,0.9302037270967705,0.9923000634850427,0.9564983169456704,0.9306513420412785,0.8302948657562814,0.8853030361197978,0.15722864348940566,0.4856958337431678,0.23110070893383897,0.23118016744770242,0.15095687744342798,0.23575117297045733,0.16841434501782582,0.252508335287259,10.73544060016614,12.039971678370986,11.68597237354727,12.229192545706715,8.753906578406228,9.574124181356927,8.68425456189193,10.333197909651116,1.0,0.9998418331317034,0.9969109126310425,0.9996162713040467,0.9965428783415653,0.9982123596461728,0.98975078929188,0.9972290121688893,-3.5468845365350843,-4.151847607465465,-4.5923385385579785,0.5396655038400222,1.6417242096887092,2.125805836689328,0.02993589850618911,0.019701490519861656,1500,0.9538459391888856,0.0002838673630538488,7.049403868837335e-05,2.5565922109535863e-05,0.6091157053654048,0.47040984775795547,33.40470972645951,50.757580955200844,2.356912346321173,2.356539560876506,2.3496316381624123,2.356007931420043,2.3487642136016738,2.3526990347004557,2.3327558550631577,2.3503813708905223,26516917.109451015,1283082.8905489803,99.18178002924286,0.3689440287227823,449.97952381006775,0.0,278.7893052349303,0.0,0.0,0.0,153535.29966253942,571.1324397682255,696576.941952601,0.0,431571.1969409685,0.0,0.0,0.0
7,526735776,0.9918134716854032,0.9705547458150561,0.8506125953514273,0.9569138878158368,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05647937367100944,0.019657844513842934,0.9803421554861571,"[0.1293314619685938, 0.006954549563397953, 0.5608322563599325, 0, 0.3028817321080757, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.1293314619685938,0.006954549563397953,0.5608322563599325,0,0.3028817321080757,0,0,0,1.9203308498943716,1,0.9084342023158457,0.9203118622853096,0.9101789527698328,0.8182395179491205,0.95220691005029,0.8177176226075865,0.9366859501164712,0.41798455640500476,0.3979763949466989,0.36311339717865576,0.3620995931403793,0.4934545338837856,0.27449933127761506,0.12250836358650737,0.15466042022698892,8.49169578711761,10.959146783436367,11.823450550430227,8.900955450501478,10.496278736658752,7.173065255135278,11.361385582808857,11.930236567525752,1.0,0.9996559545036152,0.9993349272938804,0.9997348953276759,0.9998570891523431,0.9996425745505162,0.9710853087911568,0.9925742467339081,-3.9032884937421777,-3.3116848743590293,-3.1118099025962467,0.6255179441501166,4.088737409524692,2.2233926185747643,0.013914826795689823,0.00868165586174892,1500,0.9435206263289906,0.00012494287822007502,0.0004878823709055923,0.0007730188733558426,0.2445742780327505,0.449763119498444,71.86578853498588,115.18539964316783,1.9203308498943716,1.9196701687138966,1.9190536902593875,1.9198217612136566,1.9200564137848315,1.9196444747771906,1.8648050763508606,1.9060709468137915,26229873.411945935,1570126.5880540623,3991.8549337533855,214.65428878724072,17310.258273443855,0.0,9348.53683903299,0.0,0.0,0.0,199074.9121750385,10704.868888643656,863267.3788756381,0.0,466214.1237797244,0.0,0.0,0.0
8,363244612,0.9881232716921519,0.9627368366013779,0.8294148672100146,0.9546692720446578,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.05849217915815596,0.036456870997444706,0.9635431290025553,"[0.08381467976034043, 0.005516648758618154, 0.5520779634121964, 0, 0.35859070806884497, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.08381467976034043,0.005516648758618154,0.5520779634121964,0,0.35859070806884497,0,0,0,1.543095144162203,1,0.9811899119505688,0.9287691036475768,0.9292846996908539,0.8922322091276793,0.8791433646536453,0.9066240102814836,0.7890824014249909,0.3452138424822594,0.28585676339557586,0.4706107824407345,0.48816048363708164,0.1565050529682518,0.14672864878173053,0.47064765710047085,0.4111817868876855,10.892468209367397,8.764576513048082,8.806681725059832,8.087081300176404,7.387562070245053,9.990476199164032,9.560928591486498,10.28841669407204,1.0,0.9998192733229176,0.9999647844602101,0.9999814712363583,0.9935454136818772,0.9879391230204624,0.999934216246549,0.9994994941804026,-4.702731696641023,-3.140207303044801,-3.3927417427055753,0.5752312246443286,4.436960025596169,2.3771986233371396,0.03295424062264407,0.029208487826208374,1500,0.941507820841844,1.9827515742103807e-05,0.0007240902454738434,0.0004048165481001606,0.225379537843737,0.4206632084433013,30.345108280627873,34.23662347568414,1.543095144162203,1.5428162657043767,1.5430408032337541,1.543066552517,1.5331351033571319,1.5244840634607408,1.5429936335716878,1.5423228160623572,26173917.419403262,1626082.5805967355,4968.692028507291,327.0373255544052,32728.221163218084,0.0,21257.93235472738,0.0,0.0,0.0,131320.89872807605,8643.489124105181,864996.1382726764,0.0,561840.1715998707,0.0,0.0,0.0
